family,genus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,identificationRemarks,identifiedBy,previousIdentifications,typeStatus,catalogNumber,occurrenceID,associatedMedia,occurrenceRemarks,recordedBy,basisOfRecord,institutionCode,collectionCode,country,countryCode,stateProvince,county,locality,verbatimLocality,decimalLatitude,decimalLongitude,eventDate,fieldNumber,RDF_path,IMAGE_path,mediaLink
Asteraceae,Senecio,pubigerus,,Senecio pubigerus L.,L.,,,,"
Senecio squamosus Thunb. | Senecio pubigerus L.",,P0000036,http://coldb.mnhn.fr/catalognumber/mnhn/p/p0000036,http://imager.mnhn.fr/imager3/w400/media/14413433657486959ls0QILgMT05O,,"Sprengel, K.",PreservedSpecimen,MNHN,P,Afrique australe,za,,,,Cap b. sp.,,,,1421,Fichiers_RDF/P0000036.rdf,Fichiers_RDF/P0000036.jpg,http://mediaphoto.mnhn.fr/media/14413433657486959ls0QILgMT05O
Asteraceae,Senecio,pubigerus,,Senecio pubigerus L.,L.,,,,"
Senecio pubigerus L.",,P0000025,http://coldb.mnhn.fr/catalognumber/mnhn/p/p0000025,http://imager.mnhn.fr/imager3/w400/media/1441343365603rDgbcB1Fooesbb5r,,s.c.,PreservedSpecimen,MNHN,P,Afrique australe,za,,,,Cap. bon. Spei,,,1865,,Fichiers_RDF/P0000025.rdf,Fichiers_RDF/P0000025.jpg,http://mediaphoto.mnhn.fr/media/1441343365603rDgbcB1Fooesbb5r
Asteraceae,Senecio,pubigerus,glabrescens,Senecio pubigerus L. var. glabrescens Sch.Bip.,Sch.Bip.,varietas,Flora 27 : 698 (1844).,Schultz Bipontinus,"
Senecio phalacrolaenus DC.",,P0000024,http://coldb.mnhn.fr/catalognumber/mnhn/p/p0000024,http://imager.mnhn.fr/imager3/w400/media/1442419263014KKkKQ13cDRrRM3lt,,"Krauss, C.F.",PreservedSpecimen,MNHN,P,Afrique australe,za,cape,,,in solo_argillaceo prope Piquetberg,,,1838-5,677,Fichiers_RDF/P0000024.rdf,Fichiers_RDF/P0000024.jpg,http://mediaphoto.mnhn.fr/media/1442419263014KKkKQ13cDRrRM3lt
Asteraceae,Senecio,pubigerus,,Senecio pubigerus L.,L.,,,,"
Senecio pubigerus L.",,P0000027,http://coldb.mnhn.fr/catalognumber/mnhn/p/p0000027,http://imager.mnhn.fr/imager3/w400/media/14413433656409Mao423ASZYhUs74,,"Schlechter, F.R.R.",PreservedSpecimen,MNHN,P,Afrique australe,za,cape,,,Cape flats prope Claremont,,,1892-3-14,495,Fichiers_RDF/P0000027.rdf,Fichiers_RDF/P0000027.jpg,http://mediaphoto.mnhn.fr/media/14413433656409Mao423ASZYhUs74
Asteraceae,Senecio,pubigerus,,Senecio pubigerus L.,L.,,,,"
Senecio pubigerus L.",,P0000014,http://coldb.mnhn.fr/catalognumber/mnhn/p/p0000014,http://imager.mnhn.fr/imager3/w400/media/1441343365414LmXKKKThjjvhhUAh,,"Drège, J.F.",PreservedSpecimen,MNHN,P,Afrique australe,za,cape,,,Duivelsberg,,,1826-7-23,,Fichiers_RDF/P0000014.rdf,Fichiers_RDF/P0000014.jpg,http://mediaphoto.mnhn.fr/media/1441343365414LmXKKKThjjvhhUAh
Asteraceae,Senecio,pubigerus,,Senecio pubigerus L.,L.,,,,"
Senecio pubigerus L.",,P0000028,http://coldb.mnhn.fr/catalognumber/mnhn/p/p0000028,http://imager.mnhn.fr/imager3/w400/media/1441343365657KVOvepZ7gcZCOuvA,,"Schlechter, F.R.R.",PreservedSpecimen,MNHN,P,Afrique australe,za,cape,,,Cape flats prope Claremont,,,1892-3-14,495,Fichiers_RDF/P0000028.rdf,Fichiers_RDF/P0000028.jpg,http://mediaphoto.mnhn.fr/media/1441343365657KVOvepZ7gcZCOuvA
Asteraceae,Senecio,pubigerus,,Senecio pubigerus L.,L.,,,,"
Senecio pubigerus L.",,P0000016,http://coldb.mnhn.fr/catalognumber/mnhn/p/p0000016,http://imager.mnhn.fr/imager3/w400/media/1441343365452YBXy1UkC7PpM9hnq,,"Drège, J.F.",PreservedSpecimen,MNHN,P,Afrique australe,za,cape,,,Leeuwenhof,,,1826-4-29,30,Fichiers_RDF/P0000016.rdf,Fichiers_RDF/P0000016.jpg,http://mediaphoto.mnhn.fr/media/1441343365452YBXy1UkC7PpM9hnq
Asteraceae,Senecio,pubigerus,,Senecio pubigerus L.,L.,,,,"
Prenanthes glomerata Decne. | Senecio pubigerus L.",,P0000035,http://coldb.mnhn.fr/catalognumber/mnhn/p/p0000035,http://imager.mnhn.fr/imager3/w400/media/1441343342717rfie7Yaqc8fiVsP7,,"Sprengel, K.",PreservedSpecimen,MNHN,P,Afrique australe,za,,,,Cap de Bonne Espérance,,,,2131,Fichiers_RDF/P0000035.rdf,Fichiers_RDF/P0000035.jpg,http://mediaphoto.mnhn.fr/media/1441343342717rfie7Yaqc8fiVsP7
Asteraceae,Senecio,pubigerus,,Senecio pubigerus L.,L.,,,,"
Senecio pubigerus L.",,P0000018,http://coldb.mnhn.fr/catalognumber/mnhn/p/p0000018,http://imager.mnhn.fr/imager3/w400/media/1441343365489sOx8yOFuNfSU7bRZ,,"Drège, J.F.",PreservedSpecimen,MNHN,P,Afrique australe,za,cape,,,Paarl,,,1827-7-19,,Fichiers_RDF/.ipynb_checkpoints/P0000018-checkpoint.rdf,Fichiers_RDF/.ipynb_checkpoints/P0000018.jpg,http://mediaphoto.mnhn.fr/media/1441343365489sOx8yOFuNfSU7bRZ
Asteraceae,Senecio,pubigerus,glabrescens,Senecio pubigerus L. var. glabrescens Sch.Bip.,Sch.Bip.,varietas,Flora 27 : 698 (1844).,Schultz Bipontinus,"
Senecio phalacrolaenus DC.",,P0000024,http://coldb.mnhn.fr/catalognumber/mnhn/p/p0000024,http://imager.mnhn.fr/imager3/w400/media/1442419263014KKkKQ13cDRrRM3lt,,"Krauss, C.F.",PreservedSpecimen,MNHN,P,Afrique australe,za,cape,,,in solo_argillaceo prope Piquetberg,,,1838-5,677,Fichiers_RDF/.ipynb_checkpoints/P0000024-checkpoint.rdf,Fichiers_RDF/.ipynb_checkpoints/P0000024.jpg,http://mediaphoto.mnhn.fr/media/1442419263014KKkKQ13cDRrRM3lt
