family,genus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,identificationRemarks,identifiedBy,previousIdentifications,typeStatus,catalogNumber,occurrenceID,associatedMedia,occurrenceRemarks,recordedBy,basisOfRecord,institutionCode,collectionCode,country,countryCode,stateProvince,county,locality,verbatimLocality,decimalLatitude,decimalLongitude,eventDate,fieldNumber,RDF_path,IMAGE_path,mediaLink
Solanaceae,Solanum,violaceum,,Solanum violaceum Ortega,Ortega,,,Anmin,"
Solanum violaceum Ortega",,P00055660,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00055660,http://imager.mnhn.fr/imager3/w400/media/1441369437712vAaUW27iI13grZOb,,"Faurie, U.J.",PreservedSpecimen,MNHN,P,Formose,tw,,,,Hokuto,,,1913-12,646,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P00055660.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P00055660.jpg,http://mediaphoto.mnhn.fr/media/1441369437712vAaUW27iI13grZOb
Brassicaceae,Diplotaxis,erucoides,,Diplotaxis erucoides (L.) DC.,(L.) DC.,,,Sag,"
Diplotaxis erucoides (L.) DC.",,P00036843,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00036843,http://imager.mnhn.fr/imager3/w400/media/14414273871547jwGn0Fgz3w68lNJ,,"Sag, G.",PreservedSpecimen,MNHN,P,Italie,it,roma,,,Tivoli,,,1976-1,1471 a,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P00036843.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P00036843.jpg,http://mediaphoto.mnhn.fr/media/14414273871547jwGn0Fgz3w68lNJ
Cyperaceae,Fimbristylis,miliacea,,Fimbristylis miliacea (L.) Vahl,(L.) Vahl,,,Camus,"
Fimbristylis miliacea (L.) Vahl",,P00045825,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00045825,http://imager.mnhn.fr/imager3/w400/media/1441314421742a734dvTvbtyfUMTR,,Brousmiche,PreservedSpecimen,MNHN,P,Indochine,vn,,,,"marais de Co-Mé, environs de Bac ninh",,,1885-6,353,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P00045825.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P00045825.jpg,http://mediaphoto.mnhn.fr/media/1441314421742a734dvTvbtyfUMTR
Orchidaceae,Eulophia,plantaginea,,Eulophia plantaginea (Thouars) Rolfe ex Hochr.,(Thouars) Rolfe ex Hochr.,,,Bosser,"
Eulophia plantaginea (Thouars) Rolfe ex Hochr.",,P00108822,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00108822,http://imager.mnhn.fr/imager3/w400/media/1441306410621R6MGXy5bJAs4a5r5,,"Decary, R.",PreservedSpecimen,MNHN,P,Madagascar,mg,,,,Zahamena (Réserve Naturelle N°3),,,1941-3-23,16745,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P00108822.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P00108822.jpg,http://mediaphoto.mnhn.fr/media/1441306410621R6MGXy5bJAs4a5r5
Siparunaceae,Glossocalyx,longicuspis,,Glossocalyx cf. longicuspis Benth.,Benth.,,,Letouzey,,,P00065332,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00065332,http://imager.mnhn.fr/imager3/w400/media/1441302801563muAblncyLBp5Y8g0,,"Letouzey, R.",PreservedSpecimen,MNHN,P,Cameroun,cm,kribi,,,A 20 km au SSE de Zingui (soit à 50 km SE de Kribi),,,1968-3-15,9047,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P00065332.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P00065332.jpg,http://mediaphoto.mnhn.fr/media/1441302801563muAblncyLBp5Y8g0
Asteraceae,Hilliardiella,leopoldii,,Hilliardiella leopoldii (Vatke) H.Rob.,(Vatke) H.Rob.,,,Gostel,"
Cyanopis leopoldii Sch.Bip. | Vernonia leopoldi (Sch.Bip. ex Walp.) Vatke",,P022347,http://coldb.mnhn.fr/catalognumber/mnhn/p/p022347,http://imager.mnhn.fr/imager3/w400/media/1442376014510Ib3FqDLzJ3w1Trs0,,"Schimper, W.",PreservedSpecimen,MNHN,P,Abyssinie,et,,,,Locis montanis siccis regionis australis montis Scholoda,,,1837-11-5,246,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P022347.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P022347.jpg,http://mediaphoto.mnhn.fr/media/1442376014510Ib3FqDLzJ3w1Trs0
Asteraceae,Crassocephalum,rubens,,Crassocephalum rubens (Juss. ex Jacq.) S.Moore,(Juss. ex Jacq.) S.Moore,,,,"
Crassocephalum rubens (Juss. ex Jacq.) S.Moore",,P00101600,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00101600,http://imager.mnhn.fr/imager3/w400/media/14413435495322pGu7ckjDgCyIrgS,,"Leeuwenberg, A.J.M.",PreservedSpecimen,MNHN,P,Cameroun,cm,,,,"Top of Montagne de la Paix, foothill of Nlonako Mt",4.91667,9.96667,1972-9-14,8371,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P00101600.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P00101600.jpg,http://mediaphoto.mnhn.fr/media/14413435495322pGu7ckjDgCyIrgS
Cyperaceae,Bulbostylis,barbata,,Bulbostylis barbata (Rottb.) C.B.Clarke,(Rottb.) C.B.Clarke,,,Camus,"
Bulbostylis barbata (Rottb.) C.B.Clarke",,P00068249,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00068249,http://imager.mnhn.fr/imager3/w400/media/1441315030718M8XwlXW5EvF9KZ7t,,"Talmy, Dr.",PreservedSpecimen,MNHN,P,Indochine,,,,,,,,,72,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P00068249.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P00068249.jpg,http://mediaphoto.mnhn.fr/media/1441315030718M8XwlXW5EvF9KZ7t
Monimiaceae,Mollinedia,glabra,,Mollinedia glabra (Sprengel) Perk.,(Sprengel) Perk.,,,Lirio,"
Mollinedia elliptica (Gardner) A.DC. | Mollinedia nitida Tul. | Mollinedia elliptica (Gardner) A.DC.",,P00080113,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00080113,http://imager.mnhn.fr/imager3/w400/media/1441302827980RGOToVy6EABnpmUw,,"Nadeaud, J.",PreservedSpecimen,MNHN,P,Brésil,br,,,,Boa-Viage,,,1862-9,,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P00080113.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P00080113.jpg,http://mediaphoto.mnhn.fr/media/1441302827980RGOToVy6EABnpmUw
Apocynaceae,Landolphia,myrtifolia,,Landolphia myrtifolia (Poir.) Markgr.,(Poir.) Markgr.,,,van Dilst,"
Landolphia myrtifolia (Poir.) Markgr.",,P00107743,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00107743,http://imager.mnhn.fr/imager3/w400/media/14413698563990Q5qoYm2u9jx5WJ3,,"Perrier de la Bâthie, H.",PreservedSpecimen,MNHN,P,Madagascar,mg,Antsiranana,,Diégo-Suarez,Ouest-Nord : Près de Diégo-Suarez,-12.28333,49.35,1926-9,17776,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P00107743.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P00107743.jpg,http://mediaphoto.mnhn.fr/media/14413698563990Q5qoYm2u9jx5WJ3
